gene	BMDM_UT_0	BMDM_UT_1	BMDM_UT_1.1	BMDM_UT_1.2	BMDM_UT_1.3	BMDM_PAM_1	BMDM_PAM_3	BMDM_PAM_8	BMDM_PIC_1	BMDM_PIC_3	BMDM_PIC_8	BMDM_LPS_1	BMDM_LPS_3	BMDM_LPS_8	BMDM_FLA_1	BMDM_FLA_3	BMDM_FLA_8	BMDM_FSL_1	BMDM_FSL_3	BMDM_FSL_8	BMDM_R848_1	BMDM_R848_3	BMDM_R848_8	BMDM_CPG_1	BMDM_CPG_3	BMDM_CPG_8	BMDM_TNF_1	BMDM_TNF_3	BMDM_TNF_8	BMDM_IFNB_1	BMDM_IFNB_3	BMDM_IFNB_8	BMDM_MCMV_1	BMDM_MCMV_3	BMDM_MCMV_8	BMDM_VSV_1	BMDM_VSV_3	BMDM_VSV_8	BMDM_STREP_1	BMDM_STREP_3	BMDM_STREP_8	BMDM_LM_1	BMDM_LM_3	BMDM_LM_8	BMDM_Trans_PIC_1	BMDM_Trans_PIC_3	BMDM_Trans_PIC_8
Klf6	7.93354709610853	8.04587336293005	7.99826754724096	7.83074076354726	7.85930671071584	9.73235391390148	8.97816770022592	9.59017279283592	9.37282523856024	9.86415598228449	10.4917261820901	10.6172235952471	10.6882979681039	10.4745183993288	8.87163923645828	8.08534993957401	8.58165692771665	9.44888361726257	8.70880341295079	9.62518467399457	9.87377752351944	9.40831525668812	9.42455310298379	9.85918427910218	9.41959201921763	9.34379060912062	8.99702096000517	8.12429676500544	8.41348441092388	8.57557656109457	9.56781863912336	9.74658192407577	8.30122097117367	8.03307670659843	8.98389697546208	8.22280702366847	9.70709468735496	10.9446998539216	9.92415383224983	8.90949866056445	8.67009497272866	9.81254362067702	8.57539458582275	8.94252089270438	10.1072035183445	10.738935534631	10.5815745098894
Ccnd2	3.24058371847179	3.10492193717437	3.1981270682636	3.31667058188984	3.34261528655935	4.32699033511456	4.33471398421108	3.41035695036893	3.29605374714584	7.63951691621969	7.66072659881402	5.02443506796931	9.90936742251715	8.60342713632902	3.9191348925989	3.44503022650506	2.5147640019096	4.09706114490974	4.11746066759994	2.90751989242446	4.04103569005805	4.67924165331879	3.67616187615398	3.80949683422746	5.27616301746449	3.92848866781958	3.91671757673622	3.55136741188419	2.98200811865317	3.75311530047635	7.43122591605791	7.464437591221	3.36492934222521	3.15374791727122	6.48951564294853	3.34191568021027	5.80701221561782	8.00306146729843	4.35171542956528	6.10885518046564	3.93813443517081	4.05782237369439	4.86614619791997	3.42776654474297	3.38320747813824	7.86313212706622	8.35419802793146
Slfn4	3.87107204425665	3.34873522285113	3.24396707690523	4.76560701271452	4.12597886455573	3.19107657630188	2.92007515975085	4.00855038655232	2.88402232940434	6.58351061949876	9.17631452640199	3.46544018119792	7.50832308671904	10.3964380577841	3.39302255048052	2.77547468796806	3.26587090880146	3.31802696903693	2.94386710416352	4.48687804378403	3.38796388722771	2.71264569199494	4.3260933906517	3.6534544185133	3.13560744979284	4.81079393154584	3.17167121357964	2.59854329152915	3.36183225025769	4.39822142959546	6.33578791820081	9.30925134197321	4.23145420457266	4.05421342761525	7.93770809342042	4.16184470565804	6.14680202497312	9.60105655239586	4.28097597578239	4.06242575826266	5.16178785428802	3.94999931802107	3.80773141883926	4.93595557739383	4.85598524933955	7.92107382709848	9.79929573357844
Lhx2	0.598309437517499	0.916150833636063	0.438878999474707	0.460581237782856	0.577626679176369	0.880753535618457	0.202898076283369	0.517314813923401	1.08830774710109	6.00315766602923	5.86144363392141	0.689348724356078	6.72001815673388	5.51565475840499	0.501337177231573	0.409113771851821	0.591673406123764	0.649579604363373	0.351708091517666	0.654268836136917	0.682001108783242	0.530488446351905	0.495537312340576	0.745370927689306	0.714927839354317	0.943945624542564	0.737751651194534	0.521981921784671	1.45682868076502	3.07295775357976	6.66650678116101	5.7055669740952	0.75190148931268	0.641377166713102	4.08875364476922	0.487865245463292	3.98199283427024	6.80158096420611	0.687602537576079	0.679193896502359	0.716609532907205	0.913577028798465	0.622295103291257	0.598124259388196	0.968690167988023	6.55500715069114	5.45265731205197
Mx1	5.87526916250728	5.77763146773072	5.96875377702938	5.9857115368829	5.76897986838612	6.02573603478812	5.74892692262895	6.9665621445951	6.04323046253285	11.420860719497	11.5631739497539	6.17105519507774	11.6593946247812	11.7994192247002	6.07869250933655	5.30468296609777	6.19668580216933	6.11100921540057	5.63794258097535	7.1337875569306	6.02821534112123	5.95256018902305	7.00749767520209	6.10807957062326	5.90710464385612	7.27090504691313	6.16684390760157	5.34277260362861	7.04652921194956	9.53313727344701	11.157520911061	11.6930042676656	6.3281411191403	6.97329761421373	10.5940426004887	6.28586048969897	11.2853033269266	12.7241066730795	5.86479851450509	6.81224921663325	6.76688084428139	5.98847872900175	6.31073041323608	6.718233857608	7.11988020610715	11.9298342061404	11.9750252445368
Pdgfb	5.09546339268396	5.07446284394105	5.11761407373508	5.13594783572828	5.05382881733141	6.10134544311382	8.30207007726585	5.20714063677	5.34363087249871	3.07620704603741	6.10786698265849	6.04154124974152	6.03248424359097	5.43434959403493	5.58982584560796	6.93442040017724	5.86894323917647	5.65938368159207	8.1642585874091	5.31225580027906	5.94102075579088	8.80045525045045	5.09149010503181	5.47988168885136	8.35966648377273	5.1814400290981	5.92872222425395	8.11661314798279	6.64029645959481	3.44033260533486	2.67470550902168	5.0757431851889	5.09773426597376	6.24230761802433	6.64925267744563	5.13755687868883	5.42154464695459	6.99650746993926	6.59426057279701	8.9736652143709	5.74352642138583	6.64895826736513	8.79701987884824	6.88371427646744	6.7082960194633	1.9830378439389	4.92029434763084
Acvrl1	4.93448440338754	4.82319907971955	4.79314447232802	5.169000517954	4.95259354354856	4.69429781816905	4.92462675465732	5.41343737072927	4.75975980742272	4.28095907168793	5.75962127841035	4.64455841617593	3.96803613522658	6.92728408782039	4.78626161408185	4.86773879148929	5.02167116014726	4.71914154664206	4.86246023332672	5.28420440174116	4.77295076967446	4.80153623366715	5.5132754989599	4.51185185565626	4.74134150007207	5.36403077407185	4.80494880648778	4.96593663848594	5.00777010012606	4.64006499128831	4.23950728297674	5.83541544566107	5.02079117767195	4.90022429760445	5.31463747083374	5.19980163854626	4.71422781289386	5.65092030169328	5.15219281710435	5.94604233844858	7.01601906693873	5.05551768347913	5.71521300012497	6.68325632657022	4.92253771299314	4.4897888164492	6.13549028105628
Acvr1b	5.15698942703854	5.14591341721447	5.19899847269728	5.05665215025961	5.22639366798278	4.32699033511456	6.50421291934624	7.28052280723115	4.89635967919598	4.48132336154975	5.54787956860113	3.89772520044411	5.91129865680511	6.79185593137857	4.68211220396018	5.99271836883657	5.89129710964453	4.65906845877225	6.31739676478385	6.9157206696856	4.42274659846066	6.69943005822868	7.34683817287037	4.62986562458951	6.82447287024802	6.78265364325418	4.67431269950922	6.1031405045409	6.57817786130562	4.97749124806447	4.35982594841082	4.76828280598958	5.11492238132654	5.61712495482237	5.56182712848261	5.09451649760698	4.74337924688798	5.60973373725918	4.78457249227831	7.23635019642882	7.79826418750995	4.8466813047709	6.72367327897198	7.53113337270814	4.92902717021081	4.45285217414603	6.11760267608232
Itga5	7.59491431051563	7.71185571895827	7.70119029452209	7.49503830020223	7.47157292837995	9.59562624964115	10.0749366188666	9.97633579258837	7.82813698054416	8.6397411599842	9.95905774075488	9.64233999394198	9.33470039186293	10.2517653518471	8.70692903775736	9.2840289358364	8.20682855608506	9.20471352201902	10.0724125273599	9.98404385852266	9.26404827601004	10.0743832662104	9.90263152172463	8.64047805548714	9.8538563298384	9.81559715555215	8.79556322572099	9.44699913315072	8.6360394957867	7.2083948484319	6.89168235683586	8.82309837149448	7.53882176600771	8.51079153019593	9.41266766363553	7.52281778247938	8.85673118425391	10.1705857173653	9.42791042997692	10.104569118418	9.87068121267922	9.32587436046504	10.2977863321923	10.413696298044	8.50806678227048	8.36757621434296	9.65049247266113
Hk2	5.44244830730937	5.50314800477906	5.35961619765166	5.49997264492285	5.4070563818839	6.92589985146767	5.88232850753278	6.7543480618208	6.11140308243892	7.49643947378501	5.5640789294737	7.24146930888075	8.23764130999253	6.46542366499845	6.5786952225196	6.10349288365475	5.73115484768091	7.12555922512451	5.91375469949584	6.17108294429979	7.25783850053191	6.28983212638941	7.11590892549862	6.50719041485619	6.66557351956085	6.64294837783141	6.16684390760157	5.57422679456166	5.48748738359774	5.71247122960652	6.34877127817895	5.62375619888942	5.46470383523574	6.14040574217549	6.28776181005374	5.48359581386084	6.75255540106954	7.28207475734782	6.88403617309189	7.25705425206793	7.72478418311531	6.57542768027733	6.50505066941645	7.30481422745718	5.76165008948142	6.82880552538492	6.9196429831111
