TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
2.60.120.260	-	0.994509491009717	-0.00550563723468772	82	2	0.00264900662251656	755	8819	18187,73379	Nrp2,Dcbld2
2.20.100.10	-	0.996514904004671	-0.00349118308923005	63	1	0.00132450331125828	755	8819	21825	Thbs1
3.30.70.340	-	0.999999999991413	-8.58693842857385e-12	8	0	0	755	8819
1.10.950.10	-	0.999999999991413	-8.58693842857385e-12	8	0	0	755	8819
4.10.1110.10	-	0.999999999991413	-8.58693842857385e-12	8	0	0	755	8819
2.60.120.590	-	0.999999999991413	-8.58693842857385e-12	8	0	0	755	8819
3.40.1190.20	-	0.999999999994347	-5.65343052002535e-12	6	0	0	755	8819
2.70.98.20	-	0.999999999994347	-5.65343052002535e-12	6	0	0	755	8819
3.30.1360.120	-	0.999999999994347	-5.65343052002535e-12	6	0	0	755	8819
1.20.58.160	-	0.999999999994347	-5.65343052002535e-12	6	0	0	755	8819
3.10.180.10	-	0.999999999994347	-5.65343052002535e-12	6	0	0	755	8819
3.10.20.380	-	0.999999999994347	-5.65343052002535e-12	6	0	0	755	8819
1.10.10.790	-	0.999999999994347	-5.65343052002535e-12	6	0	0	755	8819
1.10.3860.10	-	0.999999999994347	-5.65343052002535e-12	6	0	0	755	8819
1.10.3430.10	-	0.999999999994347	-5.65343052002535e-12	6	0	0	755	8819
1.20.5.350	-	0.999999999994347	-5.65343052002535e-12	6	0	0	755	8819
2.100.10.30	-	0.999999999994347	-5.65343052002535e-12	6	0	0	755	8819
2.70.130.10	-	0.999999999994347	-5.65343052002535e-12	6	0	0	755	8819
1.10.10.440	-	0.999999999994347	-5.65343052002535e-12	6	0	0	755	8819
2.60.40.720	-	0.999999999994347	-5.65343052002535e-12	6	0	0	755	8819
1.10.287.660	-	0.999999999994347	-5.65343052002535e-12	6	0	0	755	8819
2.140.10.30	-	0.999999999994347	-5.65343052002535e-12	6	0	0	755	8819
3.30.450.260	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
3.30.1660.20	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
2.40.160.80	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
3.30.1490.100	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
1.20.120.790	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
3.30.420.210	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
1.10.275.10	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
1.10.3520.10	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
3.90.650.10	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
1.20.58.760	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
2.30.30.920	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
3.80.30.20	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
2.60.120.780	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
1.10.274.30	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
1.20.58.120	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
3.90.1520.10	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
1.20.1440.160	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
1.20.1480.20	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
3.30.1330.10	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
3.30.210.10	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
2.60.40.840	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
3.40.1350.10	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
3.30.559.10	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
1.20.120.1900	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
3.30.740.10	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
3.40.1280.10	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
1.10.135.10	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
1.10.132.60	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
2.20.70.30	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
3.40.1000.10	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
1.25.40.320	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
1.10.800.10	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
3.40.50.10470	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
3.30.420.110	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
2.60.120.230	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
2.60.120.310	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
1.10.1200.10	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
2.60.40.1970	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
3.40.50.261	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
3.40.225.10	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
1.20.5.30	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
3.90.280.10	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
1.10.1580.10	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
2.60.40.3180	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
1.10.10.1610	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
2.102.10.10	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
3.40.80.10	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
1.20.5.1010	-	0.999999999995035	-4.9649777019746e-12	4	0	0	755	8819
1.25.40.280	-	1.00000000000055	5.46190132713425e-13	5	0	0	755	8819
2.160.20.70	-	1.00000000000055	5.46190132713425e-13	5	0	0	755	8819
3.30.750.24	-	1.00000000000055	5.46190132713425e-13	5	0	0	755	8819
3.20.110.10	-	1.00000000000055	5.46190132713425e-13	5	0	0	755	8819
3.40.50.920	-	1.00000000000055	5.46190132713425e-13	5	0	0	755	8819
1.25.70.10	-	1.00000000000055	5.46190132713425e-13	5	0	0	755	8819
2.60.40.1700	-	1.00000000000055	5.46190132713425e-13	5	0	0	755	8819
3.30.465.10	-	1.00000000000055	5.46190132713425e-13	5	0	0	755	8819
1.10.150.110	-	1.00000000000055	5.46190132713425e-13	5	0	0	755	8819
2.60.40.1260	-	1.00000000000055	5.46190132713425e-13	5	0	0	755	8819
3.40.50.1110	-	1.00000000000055	5.46190132713425e-13	5	0	0	755	8819
3.40.1810.10	-	1.00000000000055	5.46190132713425e-13	5	0	0	755	8819
2.60.40.1860	-	1.00000000000055	5.46190132713425e-13	5	0	0	755	8819
3.40.350.10	-	1.00000000000055	5.46190132713425e-13	5	0	0	755	8819
1.20.930.40	-	1.00000000000055	5.46190132713425e-13	5	0	0	755	8819
2.30.130.10	-	1.00000000000055	5.46190132713425e-13	5	0	0	755	8819
2.60.40.1660	-	1.00000000000055	5.46190132713425e-13	5	0	0	755	8819
3.30.900.10	-	1.00000000000055	5.46190132713425e-13	5	0	0	755	8819
2.10.250.10	-	1.00000000000055	5.46190132713425e-13	5	0	0	755	8819
2.40.160.10	-	1.00000000000055	5.46190132713425e-13	5	0	0	755	8819
3.30.760.10	-	1.00000000000055	5.46190132713425e-13	5	0	0	755	8819
1.20.1270.50	-	1.00000000000055	5.46190132713425e-13	5	0	0	755	8819
1.20.1380.20	-	1.00000000000055	5.46190132713425e-13	5	0	0	755	8819
2.60.120.820	-	1.00000000000055	5.46190132713425e-13	5	0	0	755	8819
3.30.60.160	-	1.00000000000055	5.46190132713425e-13	5	0	0	755	8819
2.160.20.10	-	1.00000000000055	5.46190132713425e-13	5	0	0	755	8819
3.90.740.10	-	1.00000000000055	5.46190132713425e-13	5	0	0	755	8819
3.40.50.11660	-	1.00000000000055	5.46190132713425e-13	5	0	0	755	8819
3.30.70.1220	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.10.1390.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.90.470.20	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.20.5.820	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.10.10.410	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.90.1680.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.40.190.140	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.20.20.210	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.10.10.1300	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.10.150.170	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.30.990.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.20.120.900	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
2.40.10.190	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.10.750.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.10.168.20	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.40.50.1170	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.30.1330.210	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.10.10.1860	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.40.140.70	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.30.479.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
2.70.220.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.10.10.2030	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.10.10.1440	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
4.10.950.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
2.40.40.50	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.40.1440.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
2.30.29.220	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.40.50.11540	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.30.70.2460	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.30.1060.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
2.20.25.420	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.40.50.10580	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.10.3560.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
2.60.11.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.30.420.140	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.20.5.260	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.25.40.450	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.10.10.1340	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
2.20.160.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.10.10.350	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.40.910.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.30.230.30	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.40.50.10320	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.30.160.190	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.20.170.30	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.20.58.1250	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.20.120.1130	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.10.10.980	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.30.160.40	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.20.1440.230	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.40.109.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.10.1760.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.30.70.1010	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.30.2260.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.10.3450.40	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.40.1190.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.10.196.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.10.418.50	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
2.70.98.110	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
4.10.280.30	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.30.70.1820	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.10.150.300	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.10.10.1890	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.30.70.2570	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.20.1150.12	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
2.20.28.20	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.10.287.20	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.10.286.60	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.30.1490.50	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.30.870.20	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
4.10.720.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.90.600.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
2.40.340.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.10.10.2420	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.25.40.200	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.25.40.820	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.20.960.50	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.30.1440.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.90.1170.20	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
2.30.30.280	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.30.160.500	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.20.1700.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.20.1250.50	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.40.50.12000	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.10.1820.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
4.10.93.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.10.8.1290	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.90.940.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
